epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6243,0.84371,2.708,1.19704,0.00333,1,0.995,0.81047,0.59846,3.12817,1.07057,0.0001,0.0001,0.0001
2,70.8322,0.76935,2.01155,1.17699,0.3377,1,0.995,0.79582,0.6351,2.70001,1.0304,0.000215644,0.000215644,0.000215644
3,105.861,0.69744,1.27573,1.04901,0.00333,1,0.82917,0.708,0.62033,2.78906,0.99898,0.000326536,0.000326536,0.000326536
4,141.429,0.73151,1.16585,1.04427,0.00333,1,0.995,0.78241,0.68101,2.95177,1.05346,0.000432676,0.000432676,0.000432676
5,177.186,0.73395,1.17951,1.06311,1,0.95258,0.995,0.83954,0.71503,2.71037,1.03972,0.000534064,0.000534064,0.000534064
6,212.251,0.70225,1.06209,1.04763,1,0.4346,0.85333,0.74306,0.65646,2.81873,1.06562,0.0006307,0.0006307,0.0006307
7,248.213,0.76014,1.08376,1.07068,0.95429,1,0.995,0.81157,0.7288,2.30051,1.04376,0.000722584,0.000722584,0.000722584
8,284.07,0.7466,1.14746,1.09679,0.7316,0.8,0.88,0.5016,1.28937,2.88491,1.58932,0.000809716,0.000809716,0.000809716
9,323.442,0.78997,1.04262,1.05278,1,0.44412,0.88591,0.70202,0.85287,2.95316,1.1809,0.000892096,0.000892096,0.000892096
10,358.504,0.72011,1.00403,1.06067,1,0.9733,0.995,0.71976,0.88461,2.20835,1.36427,0.000969724,0.000969724,0.000969724
11,393.176,0.77266,1.13211,1.10568,1,0.79696,0.995,0.53815,0.90103,2.76143,1.45228,0.0010426,0.0010426,0.0010426
12,428.156,0.78325,1.03188,1.05906,1,0.97066,0.995,0.70528,0.96221,2.06549,1.53889,0.00111072,0.00111072,0.00111072
13,473.698,0.70193,1.00977,1.06943,0.98996,1,0.995,0.56037,0.66712,1.91639,1.03192,0.0011741,0.0011741,0.0011741
14,515.409,0.72558,0.94089,1.08189,0.98729,1,0.995,0.83437,0.69661,1.51604,1.05902,0.00123272,0.00123272,0.00123272
15,554.579,0.73429,0.88432,1.0391,0.98517,1,0.995,0.80905,0.70823,1.30789,1.0892,0.00128658,0.00128658,0.00128658
16,593.283,0.68625,0.93335,1.08081,0.99152,1,0.995,0.81579,0.81233,1.24186,1.28085,0.0013357,0.0013357,0.0013357
17,630.797,0.75899,0.94293,1.07756,0.97892,1,0.995,0.81579,0.84718,1.48703,1.25062,0.0013664,0.0013664,0.0013664
18,665.82,0.71587,0.91365,1.04898,0.98881,1,0.995,0.86941,0.6296,1.21384,1.03238,0.0013268,0.0013268,0.0013268
19,701.741,0.68103,0.89809,1.0322,0.97582,1,0.995,0.83437,0.68454,1.24202,1.10024,0.0012872,0.0012872,0.0012872
20,739.974,0.68368,0.85543,1.02927,0.76949,0.8,0.88,0.61036,0.89124,2.17551,1.37665,0.0012476,0.0012476,0.0012476
21,775.752,0.67473,0.78398,1.00094,0.70607,0.9655,0.88071,0.5609,0.95484,2.21158,1.43561,0.001208,0.001208,0.001208
22,811.333,0.68437,0.81743,1.03661,1,0.95598,0.995,0.85907,0.67356,1.26783,1.03578,0.0011684,0.0011684,0.0011684
23,852.772,0.69801,0.78134,1.03384,0.98572,1,0.995,0.81379,0.71167,1.11069,1.04296,0.0011288,0.0011288,0.0011288
24,902.126,0.69321,0.76533,1.02004,0.99821,1,0.995,0.80377,0.68076,1.09761,1.02992,0.0010892,0.0010892,0.0010892
25,954.077,0.72101,0.75747,1.04712,1,0.99522,0.995,0.78382,0.75404,1.06775,1.098,0.0010496,0.0010496,0.0010496
26,1000.24,0.67364,0.74004,1.05363,0.98217,0.8,0.93786,0.79841,0.58774,1.15093,0.95062,0.00101,0.00101,0.00101
27,1048.31,0.73524,0.7826,1.05577,1,0.77998,0.92,0.76054,0.54153,1.11494,0.91914,0.0009704,0.0009704,0.0009704
28,1086.84,0.73564,0.7318,1.04595,0.81626,0.8,0.96167,0.76575,0.60237,1.18979,0.94288,0.0009308,0.0009308,0.0009308
29,1125,0.64347,0.69166,0.99093,0.94255,1,0.995,0.82069,0.63338,1.05702,0.97857,0.0008912,0.0008912,0.0008912
30,1163.58,0.65144,0.67042,0.99698,0.98761,1,0.995,0.83174,0.68381,0.8584,1.05072,0.0008516,0.0008516,0.0008516
31,1201.97,0.61957,0.67997,0.98938,0.99097,1,0.995,0.86353,0.67611,0.78683,1.0381,0.000812,0.000812,0.000812
32,1240.38,0.61889,0.68533,1.00193,0.99059,1,0.995,0.84087,0.67657,0.76031,1.03862,0.0007724,0.0007724,0.0007724
33,1278.36,0.62217,0.6682,1.00637,0.99028,1,0.995,0.85054,0.72744,0.78826,1.09305,0.0007328,0.0007328,0.0007328
34,1318.17,0.60887,0.66552,0.99837,0.99046,1,0.995,0.87553,0.62402,0.73361,1.04381,0.0006932,0.0006932,0.0006932
35,1356.28,0.63774,0.64738,0.98891,0.9901,1,0.995,0.8955,0.57163,0.67822,0.98006,0.0006536,0.0006536,0.0006536
36,1395.76,0.58683,0.6163,0.98454,0.98998,1,0.995,0.90528,0.54998,0.69799,0.93009,0.000614,0.000614,0.000614
37,1434.23,0.60622,0.63009,0.99489,0.99053,1,0.995,0.8955,0.56269,0.71878,0.94244,0.0005744,0.0005744,0.0005744
